#T 	 eps 	 branch 	 rho_spinodal 
2.77777777778	0.36	liq	-3.37282961542
#T 	 eps 	 branch 	 rho_spinodal 
2.63157894737	0.38	liq	-3.59362175931
#T 	 eps 	 branch 	 rho_spinodal 
2.38095238095	0.42	liq	-3.66343778667
#T 	 eps 	 branch 	 rho_spinodal 
2.27272727273	0.439999999999	liq	-3.79264155405
#T 	 eps 	 branch 	 rho_spinodal 
2.17391304348	0.46	liq	-3.91748061268
#T 	 eps 	 branch 	 rho_spinodal 
2.08333333333	0.480000000001	liq	0.233126606807
#T 	 eps 	 branch 	 rho_spinodal 
2.5	0.4	liq	-3.6486777113
#T 	 eps 	 branch 	 rho_spinodal 
1.92307692308	0.519999999999	liq	0.460924322957
#T 	 eps 	 branch 	 rho_spinodal 
1.85185185185	0.540000000001	liq	0.51053234706
#T 	 eps 	 branch 	 rho_spinodal 
1.78571428571	0.560000000001	liq	0.555641356773
#T 	 eps 	 branch 	 rho_spinodal 
1.72413793103	0.580000000002	liq	0.588463573727
#T 	 eps 	 branch 	 rho_spinodal 
2.0	0.5	liq	0.398245902318
#T 	 eps 	 branch 	 rho_spinodal 
1.61290322581	0.619999999999	liq	0.643858353345
#T 	 eps 	 branch 	 rho_spinodal 
1.5625	0.64	liq	0.668147439291
#T 	 eps 	 branch 	 rho_spinodal 
1.47058823529	0.680000000002	liq	0.708373367277
#T 	 eps 	 branch 	 rho_spinodal 
1.66666666667	0.599999999999	liq	0.615174312311
#T 	 eps 	 branch 	 rho_spinodal 
1.38888888889	0.719999999999	liq	0.743738015428
#T 	 eps 	 branch 	 rho_spinodal 
1.42857142857	0.700000000001	liq	0.725908208537
